PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26919512","Imaging modalities for the non-invasive diagnosis of endometriosis","Nisenblat V, Bossuyt PM, Farquhar C, Johnson N, Hull ML.","Cochrane Database Syst Rev. 2016 Feb 26;2(2):CD009591. doi: 10.1002/14651858.CD009591.pub2.","Nisenblat V","Cochrane Database Syst Rev","2016","2016/02/27","PMC7100540","","10.1002/14651858.CD009591.pub2"
"19454060","Endometriosis","Johnson N, Farquhar C.","BMJ Clin Evid. 2007 Mar 1;2007:0802.","Johnson N","BMJ Clin Evid","2007","2009/05/21","PMC2943788","",""
"21418683","Endometriosis","Ferrero S, Remorgida V, Venturini PL.","BMJ Clin Evid. 2010 Aug 13;2010:0802.","Ferrero S","BMJ Clin Evid","2010","2011/03/23","PMC3217755","",""
"37217824","The Efficacy of Dienogest in Reducing Disease and Pain Recurrence After Endometriosis Surgery: a Systematic Review and Meta-Analysis","Muzii L, Di Tucci C, Galati G, Carbone F, Palaia I, Bogani G, Perniola G, Tomao F, Kontopantelis E, Di Donato V.","Reprod Sci. 2023 Nov;30(11):3135-3143. doi: 10.1007/s43032-023-01266-0. Epub 2023 May 22.","Muzii L","Reprod Sci","2023","2023/05/22","PMC10643411","","10.1007/s43032-023-01266-0"
"39061077","Proteomics approach to discovering non-invasive diagnostic biomarkers and understanding the pathogenesis of endometriosis: a systematic review and meta-analysis","Azeze GG, Wu L, Alemu BK, Lee WF, Fung LWY, Cheung ECW, Zhang T, Wang CC.","J Transl Med. 2024 Jul 26;22(1):685. doi: 10.1186/s12967-024-05474-3.","Azeze GG","J Transl Med","2024","2024/07/26","PMC11282838","","10.1186/s12967-024-05474-3"
"39653562","Cost-effectiveness of long-acting progestogens versus the combined oral contraceptives pill for preventing recurrence of endometriosis-related pain following surgery: an economic evaluation alongside the PRE-EMPT trial","Melyda M, Monahan M, Cooper KG, Bhattacharya S, Daniels JP, Cheed V, Middleton L, Roberts TE.","BMJ Open. 2024 Dec 9;14(12):e088072. doi: 10.1136/bmjopen-2024-088072.","Melyda M","BMJ Open","2024","2024/12/09","PMC11628948","","10.1136/bmjopen-2024-088072"
"39049473","Untangling the independent effect of endometriosis, adenomyosis, and ART-related factors on maternal, placental, fetal, and neonatal adverse outcomes: results from a systematic review and meta-analysis","Busnelli A, Di Simone N, Somigliana E, Greppi D, Cirillo F, Bulfoni A, Inversetti A, Levi-Setti PE.","Hum Reprod Update. 2024 Dec 1;30(6):751-788. doi: 10.1093/humupd/dmae024.","Busnelli A","Hum Reprod Update","2024","2024/07/25","","","10.1093/humupd/dmae024"
"38820340","Vitamin C and E antioxidant supplementation may significantly reduce pain symptoms in endometriosis: A systematic review and meta-analysis of randomized controlled trials","Bayu P, Wibisono JJ.","PLoS One. 2024 May 31;19(5):e0301867. doi: 10.1371/journal.pone.0301867. eCollection 2024.","Bayu P","PLoS One","2024","2024/05/31","PMC11142610","","10.1371/journal.pone.0301867"
"39111847","Levonorgestrel intrauterine system versus dienogest effect on quality of life of women with deep endometriosis: a randomized open-label clinical trial","da Costa Porto BT, Ribeiro PA, Kuteken F, Ohara F, Abdalla Ribeiro HS.","Women Health. 2024 Aug;64(7):551-558. doi: 10.1080/03630242.2024.2382418. Epub 2024 Aug 7.","da Costa Porto BT","Women Health","2024","2024/08/07","","","10.1080/03630242.2024.2382418"
"38566501","Efficacy of Cognitive Behavioral Therapy in treating women with endometriosis and chronic pelvic pain: A randomized trial","Donatti L, Podgaec S, Baracat EC.","J Health Psychol. 2025 Apr;30(5):1004-1016. doi: 10.1177/13591053241240198. Epub 2024 Apr 2.","Donatti L","J Health Psychol","2025","2024/04/03","","","10.1177/13591053241240198"
"30925951","Laparoscopic Surgery Combined with GnRH Agonist in Endometriosis","Yang Y, Zhu W, Chen S, Zhang G, Chen M, Zhuang Y.","J Coll Physicians Surg Pak. 2019 Apr;29(4):313-316. doi: 10.29271/jcpsp.2019.04.313.","Yang Y","J Coll Physicians Surg Pak","2019","2019/03/31","","","10.29271/jcpsp.2019.04.313"
"33129015","Hormonal treatment isolated versus hormonal treatment associated with electrotherapy for pelvic pain control in deep endometriosis: Randomized clinical trial","Mira TAA, Yela DA, Podgaec S, Baracat EC, Benetti-Pinto CL.","Eur J Obstet Gynecol Reprod Biol. 2020 Dec;255:134-141. doi: 10.1016/j.ejogrb.2020.10.018. Epub 2020 Oct 15.","Mira TAA","Eur J Obstet Gynecol Reprod Biol","2020","2020/10/31","","","10.1016/j.ejogrb.2020.10.018"
"34373298","Yoga, cognitive-behavioural therapy versus education to improve quality of life and reduce healthcare costs in people with endometriosis: a randomised controlled trial","Mikocka-Walus A, Druitt M, O'Shea M, Skvarc D, Watts JJ, Esterman A, Tsaltas J, Knowles S, Harris J, Dowding C, Parigi E, Evans S.","BMJ Open. 2021 Aug 9;11(8):e046603. doi: 10.1136/bmjopen-2020-046603.","Mikocka-Walus A","BMJ Open","2021","2021/08/10","PMC8354255","","10.1136/bmjopen-2020-046603"
"38243752","Two-year efficacy and safety of relugolix combination therapy in women with endometriosis-associated pain: SPIRIT open-label extension study","Becker CM, Johnson NP, As-Sanie S, Arjona Ferreira JC, Abrao MS, Wilk K, Imm SJ, Mathur V, Perry JS, Wagman RB, Giudice LC.","Hum Reprod. 2024 Mar 1;39(3):526-537. doi: 10.1093/humrep/dead263.","Becker CM","Hum Reprod","2024","2024/01/20","PMC10905503","","10.1093/humrep/dead263"
"28435128","Randomized Trial on Fast Track Care in Colorectal Surgery for Deep Infiltrating Endometriosis","Scioscia M, Ceccaroni M, Gentile I, Rossini R, Clarizia R, Brunelli D, Ruffo G.","J Minim Invasive Gynecol. 2017 Jul-Aug;24(5):815-821. doi: 10.1016/j.jmig.2017.04.004. Epub 2017 Apr 18.","Scioscia M","J Minim Invasive Gynecol","2017","2017/04/25","","","10.1016/j.jmig.2017.04.004"
"38043860","Robotic Management of Recurrent Rectal Endometriosis After Previous Segmental Bowel Resection","Canturk MM, D'Ancona G, François MO, Roman H.","J Minim Invasive Gynecol. 2024 Mar;31(3):176-177. doi: 10.1016/j.jmig.2023.11.021. Epub 2023 Dec 2.","Canturk MM","J Minim Invasive Gynecol","2024","2023/12/03","","","10.1016/j.jmig.2023.11.021"
"35717987","Once daily oral relugolix combination therapy versus placebo in patients with endometriosis-associated pain: two replicate phase 3, randomised, double-blind, studies (SPIRIT 1 and 2)","Giudice LC, As-Sanie S, Arjona Ferreira JC, Becker CM, Abrao MS, Lessey BA, Brown E, Dynowski K, Wilk K, Li Y, Mathur V, Warsi QA, Wagman RB, Johnson NP.","Lancet. 2022 Jun 18;399(10343):2267-2279. doi: 10.1016/S0140-6736(22)00622-5.","Giudice LC","Lancet","2022","2022/06/19","","","10.1016/S0140-6736(22)00622-5"
"39259620","Preventing recurrence of endometriosis-related pain by means of long-acting progestogen therapy: the PRE-EMPT RCT","Cooper KG, Bhattacharya S, Daniels JP, Cheed V, Gennard L, Leighton L, Pirie D, Melyda M, Monahan M, Weckesser A, Roberts T, Denny E, Ocansey L, Stubbs C, Cox E, Jones G, Clark TJ, Saridogan E, Gupta JK, Critchley HO, Horne A, Middleton LJ.","Health Technol Assess. 2024 Sep;28(55):1-77. doi: 10.3310/SQWY6998.","Cooper KG","Health Technol Assess","2024","2024/09/11","PMC11417646","","10.3310/SQWY6998"
"28238489","Laparoscopy vs. Robotic Surgery for Endometriosis (LAROSE): a multicenter, randomized, controlled trial","Soto E, Luu TH, Liu X, Magrina JF, Wasson MN, Einarsson JI, Cohen SL, Falcone T.","Fertil Steril. 2017 Apr;107(4):996-1002.e3. doi: 10.1016/j.fertnstert.2016.12.033. Epub 2017 Feb 24.","Soto E","Fertil Steril","2017","2017/02/28","","","10.1016/j.fertnstert.2016.12.033"
"37020589","Astaxanthin ameliorates inflammation, oxidative stress, and reproductive outcomes in endometriosis patients undergoing assisted reproduction: A randomized, triple-blind placebo-controlled clinical trial","Rostami S, Alyasin A, Saedi M, Nekoonam S, Khodarahmian M, Moeini A, Amidi F.","Front Endocrinol (Lausanne). 2023 Mar 20;14:1144323. doi: 10.3389/fendo.2023.1144323. eCollection 2023.","Rostami S","Front Endocrinol (Lausanne)","2023","2023/04/06","PMC10067663","","10.3389/fendo.2023.1144323"
"25967705","Analysis of laparoscopy on endometriosis patients with high expression of CA125","Ruan YQ, Liang WG, Huang SH.","Eur Rev Med Pharmacol Sci. 2015 Apr;19(8):1334-7.","Ruan YQ","Eur Rev Med Pharmacol Sci","2015","2015/05/14","","",""
"35181041","Inguinal endometriosis: A systematic review","Dalkalitsis A, Salta S, Tsakiridis I, Dagklis T, Kalogiannidis I, Mamopoulos A, Daniilidis A, Athanasiadis A, Navrozoglou I, Paschopoulos M, Vatopoulou A, Kosmas I.","Taiwan J Obstet Gynecol. 2022 Jan;61(1):24-33. doi: 10.1016/j.tjog.2021.11.007.","Dalkalitsis A","Taiwan J Obstet Gynecol","2022","2022/02/19","","","10.1016/j.tjog.2021.11.007"
"28266234","Postoperative desogestrel for pelvic endometriosis-related pain: a randomized controlled trial","Tanmahasamut P, Saejong R, Rattanachaiyanont M, Angsuwathana S, Techatraisak K, Sanga-Areekul N.","Gynecol Endocrinol. 2017 Jul;33(7):534-539. doi: 10.1080/09513590.2017.1296124. Epub 2017 Mar 7.","Tanmahasamut P","Gynecol Endocrinol","2017","2017/03/08","","","10.1080/09513590.2017.1296124"
"27986972","Effects of Vitamin D on Endometriosis-Related Pain: A Double-Blind Clinical Trial","Almassinokiani F, Khodaverdi S, Solaymani-Dodaran M, Akbari P, Pazouki A.","Med Sci Monit. 2016 Dec 17;22:4960-4966. doi: 10.12659/msm.901838.","Almassinokiani F","Med Sci Monit","2016","2016/12/18","PMC5189720","","10.12659/msm.901838"
"33387724","A randomized exploratory trial to assess the effects of resveratrol on VEGF and TNF-α 2 expression in endometriosis women","Khodarahmian M, Amidi F, Moini A, Kashani L, Salahi E, Danaii-Mehrabad S, Nashtaei MS, Mojtahedi MF, Esfandyari S, Sobhani A.","J Reprod Immunol. 2021 Feb;143:103248. doi: 10.1016/j.jri.2020.103248. Epub 2020 Nov 13.","Khodarahmian M","J Reprod Immunol","2021","2021/01/02","","","10.1016/j.jri.2020.103248"
"36647238","Prevalence of adenomyosis in women with subfertility: systematic review and meta-analysis","Mishra I, Melo P, Easter C, Sephton V, Dhillon-Smith R, Coomarasamy A.","Ultrasound Obstet Gynecol. 2023 Jul;62(1):23-41. doi: 10.1002/uog.26159. Epub 2023 Apr 28.","Mishra I","Ultrasound Obstet Gynecol","2023","2023/01/17","","","10.1002/uog.26159"
"36403695","Association between Endometriosis and Risk of Preeclampsia in Women Who Conceived Spontaneously: A Systematic Review and Meta-analysis","Drummond K, Danesh NM, Arseneault S, Rodrigues J, Tulandi T, Raina J, Suarthana E.","J Minim Invasive Gynecol. 2023 Feb;30(2):91-99. doi: 10.1016/j.jmig.2022.11.008. Epub 2022 Nov 18.","Drummond K","J Minim Invasive Gynecol","2023","2022/11/20","","","10.1016/j.jmig.2022.11.008"
"26927249","Low-dose add-back therapy during postoperative GnRH agonist treatment","Tsai HW, Wang PH, Huang BS, Twu NF, Yen MS, Chen YJ.","Taiwan J Obstet Gynecol. 2016 Feb;55(1):55-9. doi: 10.1016/j.tjog.2015.04.004.","Tsai HW","Taiwan J Obstet Gynecol","2016","2016/03/02","","","10.1016/j.tjog.2015.04.004"
"11729332","Efficacy of every-other-day administration of conjugated equine estrogen and medroxyprogesterone acetate on gonadotropin-releasing hormone agonists treatment in women with endometriosis","Irahara M, Uemura H, Yasui T, Kinoshita H, Yamada M, Tezuka M, Kiyokawa M, Kamada M, Aono T.","Gynecol Obstet Invest. 2001;52(4):217-22. doi: 10.1159/000052978.","Irahara M","Gynecol Obstet Invest","2001","2001/12/01","","","10.1159/000052978"
"30937963","Efficacy of ten interventions for endometriosis: A network meta-analysis","Chen Y, Wang H, Wang S, Shi X, Wang Q, Ren Q.","J Cell Biochem. 2019 Aug;120(8):13076-13084. doi: 10.1002/jcb.28579. Epub 2019 Apr 1.","Chen Y","J Cell Biochem","2019","2019/04/03","","","10.1002/jcb.28579"
"24842806","The role of ovarian suspension in endometriosis surgery: a randomized controlled trial","Seracchioli R, Di Donato N, Bertoldo V, La Marca A, Vicenzi C, Zannoni L, Villa G, Monti G, Leonardi D, Giovanardi G, Venturoli S, Montanari G.","J Minim Invasive Gynecol. 2014 Nov-Dec;21(6):1029-35. doi: 10.1016/j.jmig.2014.04.016. Epub 2014 May 16.","Seracchioli R","J Minim Invasive Gynecol","2014","2014/05/21","","","10.1016/j.jmig.2014.04.016"
"39260540","Randomized, controlled, proof-of-concept trial of gefapixant for endometriosis-related pain","Arbelaez F, Joeng HK, Hussain A, Sunga S, Guan Y, Chawla A, Carmona F, Lines C, Mendizabal G.","Fertil Steril. 2025 Feb;123(2):280-288. doi: 10.1016/j.fertnstert.2024.09.013. Epub 2024 Sep 12.","Arbelaez F","Fertil Steril","2025","2024/09/11","","","10.1016/j.fertnstert.2024.09.013"
"32527167","Impact of endometrioma surgery on ovarian reserve: a prospective, randomized, pilot study comparing stripping with CO(2) laser vaporization in patients with bilateral endometriomas","Rius M, Gracia M, Ros C, Martínez-Zamora MÁ, deGuirior C, Quintas L, Carmona F.","J Int Med Res. 2020 Jun;48(6):300060520927627. doi: 10.1177/0300060520927627.","Rius M","J Int Med Res","2020","2020/06/13","PMC7294500","","10.1177/0300060520927627"
"15533351","Add-back therapy in the treatment of endometriosis-associated pain","Zupi E, Marconi D, Sbracia M, Zullo F, De Vivo B, Exacustos C, Sorrenti G.","Fertil Steril. 2004 Nov;82(5):1303-8. doi: 10.1016/j.fertnstert.2004.03.062.","Zupi E","Fertil Steril","2004","2004/11/10","","","10.1016/j.fertnstert.2004.03.062"
"22258970","Pentoxifylline for endometriosis","Lu D, Song H, Li Y, Clarke J, Shi G.","Cochrane Database Syst Rev. 2012 Jan 18;1:CD007677. doi: 10.1002/14651858.CD007677.pub3.","Lu D","Cochrane Database Syst Rev","2012","2012/01/20","","","10.1002/14651858.CD007677.pub3"
"35181523","Long-term Outcomes Following Surgical Management of Rectal Endometriosis: Seven-year Follow-up of Patients Enrolled in a Randomized Trial","Roman H, Huet E, Bridoux V, Khalil H, Hennetier C, Bubenheim M, Braund S, Tuech JJ.","J Minim Invasive Gynecol. 2022 Jun;29(6):767-775. doi: 10.1016/j.jmig.2022.02.007. Epub 2022 Feb 16.","Roman H","J Minim Invasive Gynecol","2022","2022/02/19","","","10.1016/j.jmig.2022.02.007"
"29609032","Surgical Excision Versus Ablation for Superficial Endometriosis-Associated Pain: A Randomized Controlled Trial","Riley KA, Benton AS, Deimling TA, Kunselman AR, Harkins GJ.","J Minim Invasive Gynecol. 2019 Jan;26(1):71-77. doi: 10.1016/j.jmig.2018.03.023. Epub 2018 Mar 30.","Riley KA","J Minim Invasive Gynecol","2019","2018/04/03","","","10.1016/j.jmig.2018.03.023"
"18262146","Pentoxifylline after conservative surgery for endometriosis: a randomized, controlled trial","Kamencic H, Thiel JA.","J Minim Invasive Gynecol. 2008 Jan-Feb;15(1):62-6. doi: 10.1016/j.jmig.2007.07.018.","Kamencic H","J Minim Invasive Gynecol","2008","2008/02/12","","","10.1016/j.jmig.2007.07.018"
"35726287","Diagnosis and Nursing Intervention of Gynecological Ovarian Endometriosis with Magnetic Resonance Imaging under Artificial Intelligence Algorithm","Jiang N, Xie H, Lin J, Wang Y, Yin Y.","Comput Intell Neurosci. 2022 Jun 11;2022:3123310. doi: 10.1155/2022/3123310. eCollection 2022.","Jiang N","Comput Intell Neurosci","2022","2022/06/21","PMC9206576","","10.1155/2022/3123310"
"29357317","Recurrence in Deep Infiltrating Endometriosis: A Systematic Review of the Literature","Ianieri MM, Mautone D, Ceccaroni M.","J Minim Invasive Gynecol. 2018 Jul-Aug;25(5):786-793. doi: 10.1016/j.jmig.2017.12.025. Epub 2018 Jan 31.","Ianieri MM","J Minim Invasive Gynecol","2018","2018/01/23","","","10.1016/j.jmig.2017.12.025"
